e1CPT_Code_Desc,e1Units,Billed,Avg Billed,CPT Payments,Avg CPT Pay per charge line,Avg Cpt Pay per Unit,Average of ReimbRate,,CPT Code,Value Care,Focal Point,Actual pay,Average of ReimbRate,Unit
"44188 - LAP, COLOSTOMY",5,"15,887","3,177","9,845","1,969",1969,62.3%,,44188," $2,090.12 "," $1,881.11 "," $1,969.08 ",62.3%,5
"76815 - Ultrasound, pregnant uterus, real time with image documentation, limited",69,"19,883",288,"9,773",142,142,49.9%,,76815, $94.39 , $51.42 , $141.64 ,49.9%,69
44205 - LPRSCPY COLECTOMY PRT WILE,5,"21,690","4,338","9,673","1,935",1935,41.3%,,44205," $2,287.97 "," $2,059.17 "," $1,934.55 ",41.3%,5
54405 - INSERT MULTI-COMP PENIS PROS (Facility),8,"55,400","6,925","9,647","1,206",1206,19.1%,,54405," $1,368.15 "," $1,231.34 "," $1,205.93 ",19.1%,8
"73630 - X-RAY EXAM OF FOOT, COMP, MIN 3V (Technical)",212,"12,980",61,"9,566",45,45,77.1%,,73630, $49.06 , $44.15 , $45.12 ,77.1%,212
90837 - PSYTX PT&/FAMILY 60 MINUTES,94,"24,628",262,"9,278",99,99,37.7%,,90837, $149.90 , $134.91 , $98.70 ,37.7%,94
51702 - Catheterize bladder (indwelling foley cath),152,"32,376",208,"9,225",59,61,28.5%,,51702, $107.02 , $96.32 , $60.69 ,28.5%,152
95044 - ALLERGY PATCH TESTS,"1,202","16,828",801,"9,168",437,7,53.5%,,95044, $7.85 , $7.07 , $7.49 ,53.5%,"1,202"
46607 - DIAGNOSTIC ANOSCOPY & BIOPSY,33,"34,868","1,057","9,111",276,276,33.6%,,46607, $367.93 , $331.14 , $276.09 ,33.6%,33
"55040 - REMOVAL OF HYDROCELE, UNILA (Facility)",17,"14,399",847,"8,808",518,518,61.2%,,55040, $575.61 , $518.05 , $518.15 ,61.2%,17
47563 - LAP CHOLE W CHOLANG,9,"14,554","1,617","8,786",976,976,55.3%,,47563," $1,243.78 "," $1,119.40 ", $976.22 ,55.3%,9
72158 - MRI LUMBAR SPINE W/O&W/DYE (Technical),21,"31,794","1,382","8,659",376,412,27.2%,,72158, $199.96 , $561.13 , $412.35 ,27.2%,21
84481 - FREE ASSAY (FT-3),519,"17,127",33,"8,648",17,17,51.2%,,84481, $16.94 , $15.25 , $16.66 ,51.2%,519
"99382 - Preventive Exam, New, 1-4",66,"16,236",246,"8,631",131,131,53.2%,,99382, $132.96 , $119.66 , $130.78 ,53.2%,66
25075 - REMOVE SUBCUT FOREARMWRIST,12,"12,072","1,006","8,613",718,718,71.4%,,25075, $911.72 , $820.55 , $717.74 ,71.4%,12
29824 - MUMFORD-SHLDR DSTL CLAVICU,12,"16,454","1,371","8,610",718,718,47.0%,,29824," $1,165.68 "," $1,049.11 ", $717.53 ,47.0%,12
54530 - REMOVAL OF TESTIS (Facility),10,"14,532","1,453","8,603",860,860,60.3%,,54530, $862.54 , $776.29 , $860.25 ,60.3%,10
84702 - CHORIONIC GONADOTROPIN TEST,613,"14,712",24,"8,599",14,14,61.0%,,84702, $15.05 , $13.55 , $14.03 ,61.0%,613
90686 - Fluzone Preservative Free,405,"10,125",25,"8,574",21,21,85.1%,,90686, Not Found , Not Found , $21.17 ,85.1%,405
19081 - BX BREAST 1ST LESION STRTCTC,10,"19,600","1,960","8,555",855,855,43.6%,,19081, $887.42 , $798.68 , $855.46 ,43.6%,10
"44625 - CLOSE ENTEROSTOMY, WRESEC",5,"17,210","3,442","8,464","1,693",1693,49.1%,,44625," $1,731.45 "," $1,558.31 "," $1,692.72 ",49.1%,5
"99284 - EMERGENCY DEPT VISIT, HIGH (Facility)",60,"22,140",357,"8,406",136,140,38.0%,,99284, $141.30 , $127.17 , $140.10 ,38.0%,60
29875 - KNEE ARTHROSCOPYSYNOVECTOM,11,"17,160","1,560","8,400",764,764,50.4%,,29875, $855.02 , $769.52 , $763.66 ,50.4%,11
"59820 - TREAT MISSED ABORTION, 1ST - Hospital",13,"11,362",874,"8,369",644,644,73.6%,,59820, $763.04 , $686.74 , $643.74 ,73.6%,13
J2356 - Tezpire 210MG,635,"20,580","2,573","8,300","1,037",5,40.3%,,J2356, $20.13 , $20.13 , $4.94 ,40.3%,635
"73110 - X-RAY EXAM OF WRIST, COMP MIN 3V (Technical)",148,"9,482",64,"8,196",55,55,89.6%,,73110, $60.24 , $68.18 , $55.38 ,89.6%,148
"95909 - Nerve Conduction, 5-6 STUDIES",43,"14,964",348,"8,188",190,190,54.7%,,95909, $212.86 , $191.57 , $190.42 ,54.7%,43
81025 - URINE PREGNANCY TEST,"1,019","20,360",20,"8,171",8,8,40.9%,,81025, $8.61 , $7.75 , $8.01 ,40.9%,"1,019"
57288 - REPAIR BLADDER DEFECT,16,"17,875","1,117","8,152",509,509,43.4%,,57288," $1,277.33 "," $1,149.60 ", $509.50 ,43.4%,16
54840 - REMOVE EPIDIDYMIS LESION (Facility),15,"13,685",912,"8,140",543,543,60.8%,,54840, $547.26 , $492.53 , $542.66 ,60.8%,15
L4361 - WALKING BOOT PNEUMATIC AND/OR VAC,35,"15,855",453,"8,120",232,232,51.2%,,L4361, $235.63 , $235.63 , $231.99 ,51.2%,35
30140 - RESECTION OF TURBINATE BONE,32,"60,085","1,878","8,107",253,253,14.2%,,30140, $513.71 , $462.34 , $253.35 ,14.2%,32
G0399 - HST TYPE III PRTBLE MON MIN 4 CH,57,"27,303",479,"8,010",141,141,29.9%,,G0399, $77.20 , $69.48 , $140.53 ,29.9%,57
11104 - PUNCH BX SKIN SINGLE LESION,42,"10,452",249,"8,008",191,191,78.5%,,11104, $219.25 , $197.33 , $190.66 ,78.5%,42
EPLNT - Urology Self-Pay Male Implant,2,"8,000","4,000","8,000","4,000",4000,100.0%,,EPLNT, Not Found , Not Found ," $4,000.00 ",100.0%,2
"56620 - REMOVAL OF VULVA, PARTIAL",8,"9,141","1,143","7,958",995,995,87.2%,,56620," $1,012.95 ", $911.66 , $994.78 ,87.2%,8
11721 - 6 OR MORE NAILS,160,"14,720",91,"7,956",49,50,55.4%,,11721, $75.21 , $67.69 , $49.72 ,55.4%,160
73502 - X-RAY EXAM HIP UNI 2-3 VIEWS (Technical),136,"9,297",68,"7,877",58,58,86.6%,,73502, $86.94 , $78.25 , $57.92 ,86.6%,136
92002 - Intermediate,66,"9,900",148,"7,820",117,118,81.5%,,92002, $132.32 , $119.09 , $118.48 ,81.5%,66
"74160 - CT, ABDOMEN W DYE (Global)",19,"14,478",762,"7,799",410,410,53.9%,,74160, $349.00 , $414.70 , $410.50 ,53.9%,19
52648 - LASER SURGERY OF PROSTATE (Facility),8,"15,064","1,883","7,789",974,974,51.7%,,52648," $2,838.12 "," $2,554.31 ", $973.64 ,51.7%,8
"46275 - REMOVE ANAL FISTULA, SUBMUS",12,"14,772","1,231","7,789",649,649,57.5%,,46275, $986.34 , $887.71 , $649.06 ,57.5%,12
46220 - REMOVAL OF ANAL TAG,22,"9,981",454,"7,773",353,353,88.2%,,46220, $440.82 , $396.74 , $353.33 ,88.2%,22
J7345 - Ameluz,"4,400","17,600",880,"7,665",383,2,43.5%,,J7345, $1.99 , $1.99 , $1.74 ,43.5%,"4,400"
"76870 - US EXAM, SCROTUM (Technical)",62,"13,826",223,"7,623",123,123,56.0%,,76870, $132.27 , $169.90 , $122.94 ,56.0%,62
"70496 - CT ANGIOGRAPHY, HEAD (Global)",16,"21,648","1,353","7,610",476,476,35.1%,,70496, $532.82 , $137.49 , $475.63 ,35.1%,16
"17261 - DESTROY MALIG LESION, TRUNK",40,"10,746",269,"7,596",190,190,70.7%,,17261, $253.38 , $228.04 , $189.90 ,70.7%,40
"11772 - REMOVE PILONIDAL CYST, COMP",8,"13,344","1,668","7,502",938,938,56.2%,,11772," $1,353.69 "," $1,218.32 ", $937.73 ,56.2%,8
"12034 - Repair, layered, trunk, 7.6-12.5 cm",17,"9,853",580,"7,461",439,439,75.6%,,12034, $578.50 , $520.65 , $438.90 ,75.6%,17
74174 - CT ANGIO ABD&PELV W/O&W/DYE (Global),11,"13,750","1,250","7,415",674,674,53.9%,,74174, $190.65 , $666.77 , $674.05 ,53.9%,11
20680 - REM SUPP,16,"22,784","1,424","7,373",461,461,37.0%,,20680," $1,040.14 ", $936.13 , $460.82 ,37.0%,16
92134 - CPTR OPHTH DX IMG POST SEGMT,131,"17,030",130,"7,350",56,56,44.2%,,92134, $24.06 , $34.36 , $56.11 ,44.2%,131
"44180 - LAP, ENTEROLYSIS  (Facility)",5,"12,690","2,538","7,287","1,457",1457,57.4%,,44180," $1,586.83 "," $1,428.15 "," $1,457.40 ",57.4%,5
"96374 - THERPROPHDIAG INJ, IV PUS",124,"14,136",112,"7,263",58,58,51.1%,,96374, $60.67 , $54.60 , $58.28 ,51.1%,124
J3490 - Testosterone Pellet 75 mg (Medicare),70,"9,520","1,058","7,209",801,101,74.5%,,J3490, Not Found , Not Found , $101.33 ,74.5%,70
"73110 - X-RAY EXAM OF WRIST, COMP MIN 3V (Global)",111,"9,057",81,"7,204",64,65,80.9%,,73110, $60.24 , $68.18 , $64.90 ,80.9%,111
52281 - CYSTOSCOPY AND TREATMENT,14,"11,004",786,"7,195",514,514,65.4%,,52281, $572.14 , $514.93 , $513.92 ,65.4%,14
45171 - EXC RECT TUM TRANSANAL PART,8,"11,776","1,472","7,003",875,875,59.5%,,45171," $1,067.91 ", $961.12 , $875.42 ,59.5%,8
11980 - IMPLANT HORMONE PELLET(S),57,"12,472",219,"7,002",123,123,56.1%,,11980, $158.51 , $142.66 , $122.84 ,56.1%,57
46505 - CHEMODENERVATION ANAL MUSC,27,"18,900",700,"6,981",259,259,39.9%,,46505, $549.58 , $494.62 , $258.54 ,39.9%,27
"57500 - Polypectomy, Cervix",30,"8,490",274,"6,974",225,232,88.0%,,57500, $271.90 , $244.71 , $232.46 ,88.0%,30
88331 - PATH CONSULT INTRAOP 1 BLOC (Global),68,"13,736",237,"6,921",119,104,51.3%,,88331, $71.60 , $107.64 , $103.73 ,51.3%,68
"83002 - ASSAY, PITUITARY GONADOTROP",364,"29,848",82,"6,888",19,19,23.4%,,83002, $18.52 , $16.67 , $18.92 ,23.4%,364
"17262 - DESTROY MALIG LESION, TRUNK",34,"11,139",348,"6,878",215,206,65.1%,,17262, $306.61 , $275.95 , $206.31 ,65.1%,34
"11771 - REMOVE PILONIDAL CYST, EXTE",10,"14,820","1,482","6,858",686,686,46.3%,,11771," $1,100.31 ", $990.28 , $685.77 ,46.3%,10
29882 - MENISCUS REPAIR,11,"17,974","1,634","6,847",622,622,38.1%,,29882," $1,184.19 "," $1,065.77 ", $622.49 ,38.1%,11
19301 - PARTICAL MASTECTOMY,7,"10,028","1,433","6,841",977,977,69.5%,,19301," $1,141.96 "," $1,027.76 ", $977.26 ,69.5%,7
69210 - CERUMEN REMOVAL - INSTRUMENTATION,105,"11,590",107,"6,826",63,65,66.9%,,69210, $80.99 , $72.89 , $65.37 ,66.9%,105
50080 - REMOVAL OF KIDNEY STONE (Facility),6,"13,134","2,189","6,816","1,136",1136,51.9%,,50080," $1,467.08 "," $1,320.37 "," $1,136.02 ",51.9%,6
55550 - LAPARO LIGATE SPERMATIC VEIN (Facility),9,"11,339","1,260","6,805",756,756,62.1%,,55550, $729.49 , $656.54 , $756.08 ,62.1%,9
44212 - LAPARO TOTAL PROCTOCOLECTOMY,2,"10,060","5,030","6,804","3,402",3402,67.6%,,44212," $3,457.12 "," $3,111.41 "," $3,401.84 ",67.6%,2
93971 - XTREM UNI/LIMIT (Technical),50,"18,400",368,"6,765",135,135,37.5%,,93971, $187.76 , $139.33 , $135.31 ,37.5%,50
PRPCO - PRP Complex,9,"6,750",750,"6,750",750,750,100.0%,,PRPCO, Not Found , Not Found , $750.00 ,100.0%,9
"44213 - LAP, MOBIL SPLENIC FL ADD-ON",22,"9,570",435,"6,715",305,305,70.2%,,44213, $319.33 , $287.40 , $305.24 ,70.2%,22
19285 - PERQ DEV BREAST 1ST US IMAG,9,"13,140","1,460","6,704",745,745,51.0%,,19285, $663.54 , $597.19 , $744.87 ,51.0%,9
"73560 - X-RAY EXAM OF KNEE, 1 OR 2V (Global)",115,"10,384",90,"6,676",58,58,64.4%,,73560, $48.44 , $13.41 , $58.05 ,64.4%,115
29877 - DEBRIDEMENT,6,"10,920","1,820","6,661","1,110",1110,62.9%,,29877," $1,069.65 ", $962.69 ," $1,110.17 ",62.9%,6
"42820 - REMOVE TONSILS & ADENOIDS,",14,"10,962",783,"6,652",475,475,60.7%,,42820, $498.09 , $448.28 , $475.15 ,60.7%,14
"52344 - CYSTOURETERO, STRICTURE TX (Facility)",12,"12,727","1,061","6,634",553,553,52.1%,,52344, $619.57 , $557.61 , $552.83 ,52.1%,12
90700 - DTaP,215,"17,415",80,"6,621",31,31,38.4%,,90700, $31.55 , $31.55 , $30.79 ,38.4%,215
"64450 - INJECT NERVE BLOCK, PERIPHE",52,"17,340",271,"6,610",103,127,40.1%,,64450, $130.74 , $117.67 , $127.04 ,40.1%,52
76882 - US Extremity Non-Vascular Limited (Global),70,"7,770",109,"6,607",93,94,86.3%,,76882, $61.48 , $55.33 , $94.45 ,86.3%,70
27829 - TREAT LOWER LEG JOINT DISLO,8,"10,282","1,285","6,586",823,823,61.7%,,27829," $1,224.11 "," $1,101.70 ", $823.30 ,61.7%,8
J0897 - Prolia (Denosumab),321,"11,520",427,"6,562",243,4,57.0%,,J0897, $32.16 , $32.16 , $4.21 ,57.0%,321
"20552 - Trigger point injection, 1-2 muscles",87,"12,180",140,"6,555",75,75,54.4%,,20552, $91.98 , $82.78 , $75.35 ,54.4%,87
20600 - Injection/Arthrocentesis Small Joint,82,"13,056",159,"6,552",80,80,52.0%,,20600, $90.82 , $81.74 , $79.90 ,52.0%,82
Q9967 - Omnipaque 100 mL,"46,700","14,477",31,"6,543",14,0,45.8%,,Q9967, $0.15 , Not Found , $0.14 ,45.8%,"46,700"
29876 - KNEE ARTHROSCOPYSYNOVECTOM,9,"24,958","2,773","6,543",727,727,28.5%,,29876," $1,124.03 "," $1,011.63 ", $726.95 ,28.5%,9
70450 - CT HEADBRAIN WO DYE (Global),36,"16,488",446,"6,501",176,181,40.5%,,70450, $129.17 , $182.76 , $180.58 ,40.5%,36
11983 - Removal and Reinsertion Drug Implant,26,"11,778",453,"6,487",250,250,55.1%,,11983, $244.71 , $220.24 , $249.51 ,55.1%,26
44120 - REMOVAL OF SMALL INTESTINE,5,"15,477","3,095","6,463","1,293",1293,40.5%,,44120," $2,103.43 "," $1,893.09 "," $1,292.57 ",40.5%,5
52442 - CYSTOURETHRO W/ADDL IMPLANT,6,"14,598","14,598","6,439","6,439",1073,44.1%,,52442," $1,560.79 "," $1,404.71 "," $1,073.12 ",44.1%,6
99238 - HOSP DISCH <30 MIN (Facility),83,"13,031",157,"6,427",77,77,51.2%,,99238, $82.56 , $74.30 , $77.44 ,51.2%,83
11305 - SHAVE SCLPNECKXTR<=.5CM,45,"9,504",216,"6,426",146,142,67.2%,,11305, $185.70 , $167.13 , $141.83 ,67.2%,45
"11422 - Excision benign lesion, scalp, neck, hands, feet, 1.1-2.0 cm",26,"8,497",369,"6,413",279,237,72.4%,,11422, $309.50 , $278.55 , $237.01 ,72.4%,26
"90662 - Influenza, high-dose, quadrivalent",81,"7,801",96,"6,408",79,79,82.2%,,90662, $79.10 , $79.10 , $79.11 ,82.2%,81
52224 - CYSTOSCOPY AND TREATMENT,6,"10,208","1,701","6,401","1,067",1067,62.6%,,52224," $1,390.14 "," $1,251.13 "," $1,066.78 ",62.6%,6
44005 - FREEING OF BOWEL ADHESION (Facility),7,"14,842","2,120","6,397",914,914,36.7%,,44005," $1,883.02 "," $1,694.72 ", $913.80 ,36.7%,7
29823 - SHOULDER ARTHROSCOPYDEBRID,11,"13,891","1,263","6,374",579,579,46.5%,,29823," $1,020.47 ", $918.42 , $579.44 ,46.5%,11
23430 - REPAIR BICEPS LONG TENDON R,12,"17,590","1,466","6,311",526,526,34.9%,,23430," $1,281.96 "," $1,153.76 ", $525.95 ,34.9%,12
72040 - X-RAY EXAM OF NECK SPINE (Technical),130,"13,260",102,"6,289",48,48,50.1%,,72040, $53.41 , $48.07 , $48.38 ,50.1%,130
44160 - REMOVAL OF COLONILEOCOLOST,4,"10,143","2,536","6,269","1,567",1567,61.8%,,44160," $2,135.24 "," $1,921.72 "," $1,567.29 ",61.8%,4
"46270 - REMOVE ANAL FISTULA, SUBCUT",10,"11,570","1,157","6,252",625,625,54.0%,,46270, $936.59 , $842.93 , $625.23 ,54.0%,10
38900 - IO MAP OF SENT LYMPH NODE,21,"11,692",557,"6,245",297,297,55.0%,,38900, $236.03 , $212.43 , $297.39 ,55.0%,21
49593 - RPR AA HRN 1ST 3-10 RDC,8,"9,616","1,202","6,242",780,780,73.8%,,49593, $988.08 , $889.27 , $780.21 ,73.8%,8
46040 - DRAINAGE OF RECTAL ABSCESS,9,"9,412","1,046","6,236",693,693,74.6%,,46040, $971.30 , $874.17 , $692.88 ,74.6%,9
64566 - NEUROELTRD STIM POST TIBIAL,62,"20,646",333,"6,200",100,100,30.0%,,64566, $207.10 , $186.39 , $100.00 ,30.0%,62
93971 - XTREM UNI/LIMIT (Global),38,"16,188",426,"6,193",163,163,40.4%,,93971, $187.76 , $139.33 , $162.98 ,40.4%,38
92015 - REFRACTION,538,"24,285",45,"6,094",11,11,53.3%,,92015, $30.33 , $27.30 , $11.33 ,53.3%,538
"46255 - REMOVAL OF HEMORRHOIDS, SIM",11,"12,210","1,110","6,060",551,551,49.6%,,46255, $912.87 , $821.58 , $550.90 ,49.6%,11
MCANS - Medical Cannibis Subsequent,40,"6,000",150,"6,000",150,150,100.0%,,MCANS, Not Found , Not Found , $150.00 ,100.0%,40
10005 - FNA BX W/US GDN 1ST LES,29,"7,345",253,"5,963",206,206,87.1%,,10005, $237.76 , $213.98 , $205.63 ,87.1%,29
"91110 - CAPSULE ENDOSCOPY, ESOPH THROUGH ILEUM (Global)",6,"11,694","1,949","5,913",985,985,50.6%,,91110, $173.64 ," $1,097.68 ", $985.44 ,50.6%,6
52235 - CYSTOSCOPY AND TREATMENT (Facility),17,"13,638",802,"5,903",347,347,43.4%,,52235, $483.05 , $434.75 , $347.21 ,43.4%,17
"44227 - LAP, CLOSE ENTEROSTOMY",4,"14,952","3,738","5,872","1,468",1468,49.3%,,44227," $2,847.96 "," $2,563.16 "," $1,468.04 ",49.3%,4
27327 - REMOVE SUBCUTANTEOUS THIGH,9,"9,675","1,075","5,816",646,646,60.1%,,27327, $881.06 , $792.95 , $646.17 ,60.1%,9
"57240 - REPAIR BLADDER & VAGINA, CY (Facility)",10,"10,610","1,061","5,783",578,578,50.0%,,57240," $1,055.76 ", $950.18 , $578.28 ,50.0%,10
54200 - TREATMENT OF PENIS LESION,29,"7,540",260,"5,773",199,199,76.6%,,54200, $196.69 , $177.02 , $199.08 ,76.6%,29
"11311 - SHAVE LESION, FACELIDEAR",27,"7,452",276,"5,771",214,214,77.4%,,11311, $237.76 , $213.98 , $213.72 ,77.4%,27
54235 - PENILE INJECTION,45,"11,250",250,"5,757",128,128,57.6%,,54235, $149.25 , $134.33 , $127.94 ,57.6%,45
"54161 - CIRCUMCISION, NOT NEWBORN (Facility)",19,"12,500",658,"5,757",303,303,47.8%,,54161, $334.37 , $300.93 , $302.98 ,47.8%,19
"95913 - Nerve conduction, 13+ STUDIES",14,"9,842",703,"5,756",411,411,63.0%,,95913, $285.56 , $257.00 , $411.12 ,63.0%,14
50400 - REVISION OF KIDNEYURETER (facility),3,"8,538","2,846","5,729","1,910",1910,67.2%,,50400," $1,951.28 "," $1,756.15 "," $1,909.68 ",67.2%,3
"12042 - Repair, layered, hand/ft/neck 2.5-7.5 cm",16,"8,816",551,"5,691",356,356,64.6%,,12042, $536.27 , $482.64 , $355.71 ,64.6%,16
"74176 - CT, ABDOMEN & PELVIS, W/O DYE (Technical)",31,"9,083",267,"5,628",166,182,62.0%,,74176, $351.49 , $316.34 , $181.54 ,62.0%,31
64581 - IMPLANT NEUROELECTRODES (Facility),7,"10,482","1,310","5,623",703,803,53.6%,,64581," $1,117.66 "," $1,005.89 ", $803.35 ,53.6%,7
20606 - DRAIN/INJ JOINT/BURSA W/US,40,"20,700",518,"5,620",140,140,28.0%,,20606, $152.72 , $137.45 , $140.49 ,28.0%,40
"11421 - Excision benign lesion, scalp, neck, hands, feet, 0.6-1.0cm",27,"7,800",300,"5,579",215,205,70.7%,,11421, $275.94 , $248.35 , $204.64 ,70.7%,27
"10061 - Incision & Drainage, abscess, complex, multiple",17,"6,970",410,"5,563",327,327,79.8%,,10061, $365.61 , $329.05 , $327.23 ,79.8%,17
43249 - UP GI W BALLOON DILAT ESOPHAGUS,25,"78,500","3,140","5,562",222,222,7.1%,,43249," $1,973.26 "," $1,775.93 ", $222.46 ,7.1%,25
"84154 - ASSAY OF PSA, FREE",320,"11,520",36,"5,554",17,17,49.1%,,84154, $18.39 , $16.55 , $17.36 ,49.1%,320
46257 - REMOVAL OF HEMORRHOIDS & FI,8,"12,208","1,526","5,525",691,691,45.3%,,46257, $716.18 , $644.56 , $690.58 ,45.3%,8
"73140 - X-RAY EXAM OF FINGERS, MIN 2V (Technical)",106,"5,992",57,"5,511",52,52,94.6%,,73140, $57.13 , $11.18 , $51.99 ,94.6%,106
"38570 - LAPROSCPY, WRETROPER LYMPH",13,"15,730","1,210","5,476",421,421,34.8%,,38570, $881.63 , $793.47 , $421.24 ,34.8%,13
27822 - REPAIR ANKLE FRACTURE,5,"11,963","2,393","5,470","1,094",1094,41.2%,,27822," $1,513.93 "," $1,362.54 "," $1,093.91 ",41.2%,5
20605 - Injection/Arthrocentesis Intermediate Joint,58,"10,064",168,"5,429",90,94,55.4%,,20605, $93.72 , $84.35 , $93.60 ,55.4%,58
17313 - MOHS 1 STAGE TAL,6,"7,428","1,238","5,424",904,904,73.0%,,17313," $1,080.06 ", $972.05 , $903.94 ,73.0%,6
"12001 - Repair, Simple, trunk <2.5 CM",39,"11,622",298,"5,423",139,139,46.7%,,12001, $161.98 , $145.78 , $139.05 ,46.7%,39
58670 - LAP TUBAL TRANSECTION FOR STERILIZATION,9,"8,055",895,"5,411",601,601,67.2%,,58670, $641.56 , $577.40 , $601.27 ,67.2%,9
45172 - EXC RECT TUM TRANSANAL FULL,4,"8,228","2,057","5,409","1,352",1352,65.7%,,45172," $1,420.80 "," $1,278.72 "," $1,352.34 ",65.7%,4
29893 - ENDOSCOPIC PLANTAR FASCIOTO,9,"12,330","1,370","5,366",596,596,43.5%,,29893," $1,140.80 "," $1,026.72 ", $596.24 ,43.5%,9
"99211 - Office Visit, Est Pat, Level 1, nurse visit",259,"15,022",55,"5,360",20,21,46.9%,,99211, $26.99 , $24.29 , $20.69 ,46.9%,259
96573 - PDT DSTR PRMLG LES PHYS/QHP,20,"9,040",476,"5,355",282,277,61.3%,,96573, $364.53 , $328.08 , $277.20 ,61.3%,20
90656 - Fluzone Preservative Free,248,"11,656",47,"5,315",21,21,45.6%,,90656, $21.17 , $21.17 , $21.43 ,45.6%,248
92133 - CMPTR OPHTH IMG OPTIC NERVE,90,"11,700",130,"5,280",59,59,45.6%,,92133, $56.48 , $29.66 , $58.67 ,45.6%,90
49020 - DRAINAGE OF PERITONEAL ABSC,3,"10,104","3,368","5,269","1,756",1756,52.1%,,49020," $2,744.98 "," $2,470.48 "," $1,756.44 ",52.1%,3
"27450 - OSTEOTOMY, FEMUR, WITH FIXATION",4,"7,191","1,798","5,269","1,317",1317,66.3%,,27450," $1,738.97 "," $1,565.07 "," $1,317.23 ",66.3%,4
59820 - TREAT MISSED AB - 1ST - OFFICE,9,"8,775",975,"5,259",584,584,59.9%,,59820, $763.04 , $686.74 , $584.35 ,59.9%,9
51705 - CHANGE OF BLADDER TUBE,62,"14,756",238,"5,232",84,84,35.5%,,51705, $166.61 , $149.95 , $84.39 ,35.5%,62
J9155 - INJECTION DEGARELIX 1 MG,"1,220","8,540",534,"5,207",325,4,60.9%,,J9155, $4.80 , $4.80 , $4.26 ,60.9%,"1,220"
"11402 - Excise Benign Lesion on trunk, arms, legs 1.1-2.0 cm",27,"8,190",303,"5,181",192,188,62.1%,,11402, $297.35 , $267.62 , $188.20 ,62.1%,27
73130 - X-RAY EXAM OF HAND (Technical),94,"7,881",84,"5,167",55,55,66.6%,,73130, $52.16 , $60.92 , $54.96 ,66.6%,94
64561 - IMPLANT NEUROELECTRODES (Facility),11,"12,480","1,135","5,149",468,468,41.7%,,64561," $1,305.67 "," $1,175.10 ", $468.11 ,41.7%,11
"73010 - X-RAY EXAM OF SCAPULA, COMPLETE (Global)",118,"9,856",84,"5,145",44,44,54.5%,,73010, $16.15 , $25.16 , $43.60 ,54.5%,118
G0008 - ADMIN INFLUENZA VIRUS VACCI,163,"7,172",43,"5,144",31,32,72.2%,,G0008, $34.80 , $31.32 , $31.56 ,72.2%,163
86140 - C-REACTIVE PROTEIN,999,"34,965",35,"5,134",5,5,15.0%,,86140, $5.18 , $4.66 , $5.14 ,15.0%,999
GDRCK - GENDER CHECK ULTRASOUND,146,"5,110",35,"5,094",35,35,99.7%,,GDRCK, Not Found , Not Found , $34.89 ,99.7%,146
92557 - COMPREHENSIVE HEARING TEST,92,"10,856",118,"5,091",55,55,47.9%,,92557, $58.05 , $52.25 , $55.34 ,47.9%,92
29880 - M&L- MENISECTOMY,6,"11,058","1,843","5,072",845,845,45.9%,,29880, $967.83 , $871.05 , $845.29 ,45.9%,6
BCNS - Breast Care No Show,107,"10,600",99,"5,061",47,47,88.8%,,BCNS, Not Found , Not Found , $47.30 ,88.8%,107
82746 - BLOOD FOLIC ACID SERUM,412,"10,712",26,"5,040",12,12,56.2%,,82746, $14.70 , $13.23 , $12.23 ,56.2%,412
"J2790 - RHO D IMMUNE GLOBULIN, HUMA",61,"6,771",111,"5,030",82,82,78.1%,,J2790, $90.66 , $90.66 , $82.46 ,78.1%,61
70491 - CT SOFT TISSUE NECK W DYE (Global),16,"11,184",658,"5,024",296,314,44.9%,,70491, $357.08 , $212.38 , $313.97 ,44.9%,16
55400 - REPAIR OF SPERM DUCT (Facility),2,"5,000","2,500","5,000","2,500",2500,100.0%,,55400, $846.92 , $762.23 ," $2,500.00 ",100.0%,2
"42826 - REMOVAL OF TONSILS, AGE 12+",13,"8,268",636,"4,985",383,383,60.3%,,42826, $437.35 , $393.62 , $383.49 ,60.3%,13
27814 - REPAIR ANKLE FRACTURE,6,"10,976","1,829","4,944",824,824,39.2%,,27814," $1,315.51 "," $1,183.96 ", $824.06 ,39.2%,6
76705 - US ABD LIMITED (Technical),48,"9,840",205,"4,929",103,103,52.3%,,76705, $163.94 , $147.55 , $102.68 ,52.3%,48
L3000 - FOOT INSERT UCB BERKELEY SH,24,"5,880",245,"4,920",205,205,91.3%,,L3000, $267.82 , $267.82 , $204.99 ,91.3%,24
69706 - NPS SURG DILAT EUST TUBE BI,1,"5,997","5,997","4,914","4,914",4914,81.9%,,69706," $5,076.34 "," $4,568.71 "," $4,914.00 ",81.9%,1
"70498 - CT ANGIOGRAPHY, NECK (Global)",10,"13,600","1,133","4,877",406,488,35.9%,,70498, $379.43 , $478.98 , $487.65 ,35.9%,10
20551 - Tendon origin/insertion injection,61,"9,176",150,"4,841",79,79,53.1%,,20551, $99.50 , $89.55 , $79.35 ,53.1%,61
"15240 - SKIN FULL GRAFT, FACEHANDS",4,"7,123","1,781","4,830","1,208",1208,67.8%,,15240," $1,584.51 "," $1,426.06 "," $1,207.56 ",67.8%,4
52317 - REMOVE BLADDER STONE (Facility),15,"16,790","1,119","4,830",322,322,31.5%,,52317," $1,562.53 "," $1,406.28 ", $322.01 ,31.5%,15
